Id Label Weight
秀玉 秀玉 1
海英 海英 25
卡住 卡住 4
金代理 金代理 15
士兵 士兵 2
老婆婆 老婆婆 1
安抚 安抚 1
露宿者 露宿者 22
蓝天 蓝天 1
塞进 塞进 1
拉进来 拉进来 1
盛京 盛京 58
尚华 尚华 112
秀安 秀安 135
安静 安静 1
组长 组长 17
安全性 安全性 1
爱抚 爱抚 1
列车长 列车长 20
乌云 乌云 1
队员 队员 10
石宇的妈妈 石宇的妈妈 12
谢谢 谢谢 3
少女 少女 14
游弋 游弋 4
麻木 麻木 1
美少女 美少女 1
钟吉冲 钟吉冲 1
苏醒过来 苏醒过来 1
小姐 小姐 2
麻麻亮 麻麻亮 1
石宇 石宇 213
冷笑 冷笑 1
乘务长 乘务长 15
阿姨 阿姨 1
金常务 金常务 52
幸存者 幸存者 1
和娜英 和娜英 2
明白 明白 2
黎明 黎明 15
珍熙 珍熙 48
英国 英国 60
呼唤 呼唤 2
钟吉 钟吉 11
